Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Controllers,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,HPS CPU Cores
5CSXFC6D6F31I7ES,1.1V,41910,499,457,9,9,2,2,5662720,112,6,4,16,2
5CSXFC6D6F31I7,1.1V,41910,499,457,9,9,2,2,5662720,112,6,4,16,2
5CSXFC6D6F31C8ES,1.1V,41910,499,457,9,9,2,2,5662720,112,6,4,16,2
5CSXFC6D6F31C8,1.1V,41910,499,457,9,9,2,2,5662720,112,6,4,16,2
5CSXFC6D6F31C7,1.1V,41910,499,457,9,9,2,2,5662720,112,6,4,16,2
5CSXFC6D6F31C6,1.1V,41910,499,457,9,9,2,2,5662720,112,6,4,16,2
5CSXFC6D6F31A7,1.1V,41910,499,457,9,9,2,2,5662720,112,6,4,16,2
5CSXFC6C6U23I7L,1.1V,41910,342,314,6,6,1,2,5662720,112,6,4,16,2
5CSXFC6C6U23I7ES,1.1V,41910,342,314,6,6,1,2,5662720,112,6,4,16,2
5CSXFC6C6U23I7,1.1V,41910,342,314,6,6,1,2,5662720,112,6,4,16,2
5CSXFC6C6U23C8ES,1.1V,41910,342,314,6,6,1,2,5662720,112,6,4,16,2
5CSXFC6C6U23C8,1.1V,41910,342,314,6,6,1,2,5662720,112,6,4,16,2
5CSXFC6C6U23C7,1.1V,41910,342,314,6,6,1,2,5662720,112,6,4,16,2
5CSXFC6C6U23C6,1.1V,41910,342,314,6,6,1,2,5662720,112,6,4,16,2
5CSXFC6C6U23A7,1.1V,41910,342,314,6,6,1,2,5662720,112,6,4,16,2
5CSXFC5D6F31I7,1.1V,32070,499,457,9,9,2,2,4065280,87,6,4,16,2
5CSXFC5D6F31C8,1.1V,32070,499,457,9,9,2,2,4065280,87,6,4,16,2
5CSXFC5D6F31C7,1.1V,32070,499,457,9,9,2,2,4065280,87,6,4,16,2
5CSXFC5D6F31C6,1.1V,32070,499,457,9,9,2,2,4065280,87,6,4,16,2
5CSXFC5C6U23I7L,1.1V,32070,342,314,6,6,1,2,4065280,87,6,4,16,2
5CSXFC5C6U23I7,1.1V,32070,342,314,6,6,1,2,4065280,87,6,4,16,2
5CSXFC5C6U23C8,1.1V,32070,342,314,6,6,1,2,4065280,87,6,4,16,2
5CSXFC5C6U23C7,1.1V,32070,342,314,6,6,1,2,4065280,87,6,4,16,2
5CSXFC5C6U23C6,1.1V,32070,342,314,6,6,1,2,4065280,87,6,4,16,2
5CSXFC5C6U23A7,1.1V,32070,342,314,6,6,1,2,4065280,87,6,4,16,2
5CSXFC4C6U23I7L,1.1V,15880,342,314,6,6,2,2,2764800,84,5,4,16,2
5CSXFC4C6U23I7,1.1V,15880,342,314,6,6,2,2,2764800,84,5,4,16,2
5CSXFC4C6U23C8,1.1V,15880,342,314,6,6,2,2,2764800,84,5,4,16,2
5CSXFC4C6U23C7,1.1V,15880,342,314,6,6,2,2,2764800,84,5,4,16,2
5CSXFC4C6U23C6,1.1V,15880,342,314,6,6,2,2,2764800,84,5,4,16,2
5CSXFC4C6U23A7,1.1V,15880,342,314,6,6,2,2,2764800,84,5,4,16,2
5CSXFC2C6U23I7L,1.1V,9430,342,314,6,6,2,2,1433600,36,5,4,16,2
5CSXFC2C6U23I7,1.1V,9430,342,314,6,6,2,2,1433600,36,5,4,16,2
5CSXFC2C6U23C8,1.1V,9430,342,314,6,6,2,2,1433600,36,5,4,16,2
5CSXFC2C6U23C7,1.1V,9430,342,314,6,6,2,2,1433600,36,5,4,16,2
5CSXFC2C6U23C6,1.1V,9430,342,314,6,6,2,2,1433600,36,5,4,16,2
5CSXFC2C6U23A7,1.1V,9430,342,314,6,6,2,2,1433600,36,5,4,16,2
5CSTFD6D5F31I7,1.1V,41910,499,457,9,9,2,2,5662720,112,6,4,16,2
5CSTFD5D5F31I7,1.1V,32070,499,457,9,9,2,2,4065280,87,6,4,16,2
5CSEMA6U23I7,1.1V,41910,314,314,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6U23C8,1.1V,41910,314,314,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6U23C7,1.1V,41910,314,314,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6U23C6,1.1V,41910,314,314,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6U23A7,1.1V,41910,314,314,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6F31I7,1.1V,41910,457,457,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6F31C8,1.1V,41910,457,457,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6F31C7,1.1V,41910,457,457,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6F31C6,1.1V,41910,457,457,0,0,0,2,5662720,112,6,4,16,2
5CSEMA6F31A7,1.1V,41910,457,457,0,0,0,2,5662720,112,6,4,16,2
5CSEMA5U23I7,1.1V,32070,314,314,0,0,0,2,4065280,87,6,4,16,2
5CSEMA5U23C8,1.1V,32070,314,314,0,0,0,2,4065280,87,6,4,16,2
5CSEMA5U23C7,1.1V,32070,314,314,0,0,0,2,4065280,87,6,4,16,2
5CSEMA5U23C6,1.1V,32070,314,314,0,0,0,2,4065280,87,6,4,16,2
5CSEMA5U23A7,1.1V,32070,314,314,0,0,0,2,4065280,87,6,4,16,2
5CSEMA5F31I7,1.1V,32070,457,457,0,0,0,2,4065280,87,6,4,16,2
5CSEMA5F31C8,1.1V,32070,457,457,0,0,0,2,4065280,87,6,4,16,2
5CSEMA5F31C7,1.1V,32070,457,457,0,0,0,2,4065280,87,6,4,16,2
